productName,description,category,price,defaultQuantity,vatCategory
"Graphics Tablet","10-inch digital drawing tablet with stylus",GRAPHICS,199.99,1,FIVE_PERCENT
"Video Editing Software","Professional video editing software license",SOFTWARE,299.99,1,FIVE_PERCENT
"4K Monitor","32-inch 4K UHD monitor for designers",GRAPHICS,499.99,1,FIVE_PERCENT
"RGB Keyboard","Mechanical keyboard with customizable RGB lighting",SOFTWARE_ACCESSORIES,129.99,1,FIVE_PERCENT
"3D Printer","Desktop 3D printer for prototyping",GRAPHICS,899.99,1,FIVE_PERCENT
"VR Headset","Virtual reality headset for immersive experiences",GRAPHICS,399.99,1,FIVE_PERCENT
"Photo Editing Software","Advanced photo editing software license",SOFTWARE,199.99,1,FIVE_PERCENT
"External SSD","1TB external SSD for fast data transfer",SOFTWARE_ACCESSORIES,149.99,1,FIVE_PERCENT
"Drawing Gloves","Anti-fingerprint gloves for graphic artists",GRAPHICS_ACCESSORIES,9.99,2,FIVE_PERCENT
"Color Calibrator","Monitor color calibration tool",GRAPHICS_ACCESSORIES,249.99,1,FIVE_PERCENT
"Laptop Cooling Pad","Cooling pad for high-performance laptops",SOFTWARE_ACCESSORIES,29.99,1,FIVE_PERCENT
"Animation Software","2D/3D animation software license",SOFTWARE,499.99,1,FIVE_PERCENT
"Projector","HD projector for presentations",GRAPHICS,349.99,1,FIVE_PERCENT
"Stylus Pen","Replacement stylus pen for graphics tablets",GRAPHICS_ACCESSORIES,49.99,1,FIVE_PERCENT
"USB-C Hub","7-in-1 USB-C hub for laptops",SOFTWARE_ACCESSORIES,39.99,1,FIVE_PERCENT
"Soundproof Headphones","Noise-canceling headphones for audio editing",SOFTWARE_ACCESSORIES,199.99,1,FIVE_PERCENT
"Webcam","4K webcam for video conferencing",SOFTWARE_ACCESSORIES,129.99,1,FIVE_PERCENT
"Green Screen","Portable green screen for video production",GRAPHICS_ACCESSORIES,79.99,1,FIVE_PERCENT
"Microphone","Studio-quality microphone for recording",SOFTWARE_ACCESSORIES,149.99,1,FIVE_PERCENT
"Software Training Course","Online course for graphic design software",SOFTWARE,99.99,1,FIVE_PERCENT
"Printer","High-quality photo printer",GRAPHICS,299.99,1,FIVE_PERCENT
"Drawing Tablet Stand","Adjustable stand for graphics tablets",GRAPHICS_ACCESSORIES,29.99,1,FIVE_PERCENT
"Lighting Kit","Studio lighting kit for photography",GRAPHICS_ACCESSORIES,199.99,1,FIVE_PERCENT
"Screen Protector","Anti-glare screen protector for tablets",GRAPHICS_ACCESSORIES,19.99,2,FIVE_PERCENT
"Software Bundle","Bundle of graphic design and editing software",SOFTWARE,599.99,1,FIVE_PERCENT
"External Hard Drive","4TB external hard drive for backups",SOFTWARE_ACCESSORIES,129.99,1,FIVE_PERCENT
"Laptop Stand","Adjustable laptop stand for ergonomic use",SOFTWARE_ACCESSORIES,39.99,1,FIVE_PERCENT
"Wireless Presenter","Wireless presenter with laser pointer",SOFTWARE_ACCESSORIES,29.99,1,FIVE_PERCENT
"Bluetooth Speaker","Portable Bluetooth speaker for presentations",SOFTWARE_ACCESSORIES,59.99,1,FIVE_PERCENT
"Software License Key","License key for productivity software",SOFTWARE,49.99,1,FIVE_PERCENT
